Data Beta, Data Omega, Data Omega Prime, Data Process time, Data Temporal Displacement, Data Effect Metric, Data Normalized Process Time, Data Normalized Reference Time, Data Process Action, Data Effect Parameter, Model Beta, Model Omega, Model Omega Prime, Model Process time, Model Temporal Displacement, Model Effect Metric, Model Normalized Process Time, Model Normalized Reference Time, Model Process Action, Model Effect Parameter, Local Seperation, Total Seperation, Standard Error Estimate
1.0, 1.083333333333334, -2.9166666666666785, 0.9230769230769226, 2.4852071005917233, 7.4368377156749315, 0.13446575523522028, 0.0, 6.864773276007625, 97.8230191831087, 1.0, 0.4452220278263752, 1.7763568394002505e-14, 2.246070359281445, -8.96142193135084e-14, 1.3356660834791176, 0.7486901197604862, 0.0, 2.9999999999999822, 41.405648587852795, 0.9682964342374197, 47.718476408831556, 1.7981948479685785
1.1083333333333334, 0.7916666666666661, -3.541666666666673, 1.400000000000001, 6.263157894736864, 5.434612176839366, 0.20393972877341768, 0.01456712348381554, nan, nan, 1.0445222027826375, 0.445222027826377, 1.3322676295501878e-14, 2.3460703592814354, -7.020303131849356e-14, 1.335666083479123, 0.7820234530938164, 0.033333333333333534, nan, nan, 1.5662923483265805, nan, nan
1.1583333333333332, 0.3749999999999991, -2.083333333333325, 3.0888888888888957, 17.160493827160504, 2.5742899785028532, 0.44996225872230317, 0.02913424696763108, nan, nan, 1.0890444055652755, 0.4452220278263779, -4.440892098500626e-15, 2.446070359281431, 2.4398466050618703e-14, 1.3356660834791256, 0.8153567864271485, 0.06666666666666707, nan, nan, 1.7285523415766222, nan, nan
1.1833333333333333, 0.3750000000000009, -0.41666666666666474, 3.1555555555555483, 3.50617283950614, 2.5742899785028657, 0.45967367437817813, 0.04370137045144661, nan, nan, 1.133566608347913, 0.4452220278263761, -8.881784197001252e-15, 2.546070359281441, 5.079184332347967e-14, 1.3356660834791203, 0.8486901197604854, 0.10000000000000059, nan, nan, 0.7981928787145615, nan, nan
1.2333333333333334, 0.2916666666666661, -0.4166666666666692, 4.2285714285714375, 6.040816326530674, 2.002225538835553, 0.615981221601344, 0.05826849393526216, nan, nan, 1.1780888111305508, 0.4452220278263761, 4.440892098500626e-15, 2.646070359281441, -2.6393377272860783e-14, 1.3356660834791203, 0.8820234530938189, 0.13333333333333414, nan, nan, 0.7555379502350359, nan, nan
1.2416666666666667, 0.29166666666666696, 4.440892098500626e-15, 4.257142857142853, -6.481889854791106e-14, 2.0022255388355594, 0.6201432568824322, 0.0728356174190777, nan, nan, 1.2226110139131883, 0.445222027826377, 8.881784197001252e-15, 2.7460703592814353, -5.478166576796322e-14, 1.335666083479123, 0.9153567864271505, 0.16666666666666766, nan, nan, 7.879231206903853e-08, nan, nan
1.2916666666666667, 0.29166666666666696, -0.8333333333333306, 4.428571428571424, 12.653061224489731, 2.0022255388355594, 0.6451154685689732, 0.08740274090289323, nan, nan, 1.267133216695826, 0.4452220278263779, -4.440892098500626e-15, 2.8460703592814296, 2.8388288495102437e-14, 1.3356660834791256, 0.9486901197604821, 0.20000000000000118, nan, nan, 1.1451865945799105, nan, nan
1.3, 0.1250000000000009, -6.217248937900877e-15, 10.399999999999926, 5.172751116333455e-13, 0.8580966595009593, 1.5149808423168052, 0.10196986438670876, nan, nan, 1.3116554194784638, 0.4452220278263761, -8.881784197001252e-15, 2.9460703592814417, 5.877148821244722e-14, 1.3356660834791203, 0.9820234530938197, 0.2333333333333347, nan, nan, 3.895888761858336e-07, nan, nan
1.3166666666666669, 0.2916666666666661, 1.4583333333333206, 4.514285714285724, -22.57142857142847, 2.002225538835553, 0.6576015744122456, 0.11653698787052431, nan, nan, 1.3561776222611013, 0.4452220278263761, 8.881784197001252e-15, 3.0460703592814413, -6.076639943468909e-14, 1.3356660834791203, 1.015356786427153, 0.2666666666666683, nan, nan, 1.5591337156782221, nan, nan
1.3583333333333334, 0.4166666666666652, 0.41666666666666985, 3.2600000000000118, -3.2600000000000477, 2.8603221983365, 0.47488822557238825, 0.13110411135433983, nan, nan, 1.4006998250437392, 0.4452220278263779, 0.0, 3.1460703592814294, -0.0, 1.3356660834791256, 1.0486901197604828, 0.30000000000000177, nan, nan, 0.9787554731471599, nan, nan
1.4, 0.375, 0.6250000000000209, 3.733333333333333, -6.22222222222243, 2.5742899785028595, 0.5438392767291134, 0.1456712348381554, nan, nan, 1.4452220278263768, 0.4452220278263761, 8.881784197001252e-15, 3.246070359281442, -6.475622187917288e-14, 1.3356660834791203, 1.0820234530938204, 0.3333333333333353, nan, nan, 1.2580122912118827, nan, nan
1.4333333333333333, 0.5416666666666696, 0.6249999999999982, 2.646153846153832, -3.0532544378697803, 3.718418857837484, 0.3854684983409629, 0.16023835832197092, nan, nan, 1.4897442306090143, 0.44522202782637965, -3.9968028886505635e-15, 3.346070359281415, 3.003800989563616e-14, 1.335666083479131, 1.115356786427145, 0.36666666666666886, nan, nan, 1.2015766391945528, nan, nan
1.5083333333333335, 0.5, -1.4583333333333375, 3.016666666666667, 8.798611111111137, 3.4323866380038126, 0.43944155842843546, 0.17480548180578645, nan, nan, 1.5342664333916523, 0.4452220278263752, -4.884981308350689e-15, 3.4460703592814492, 3.781032437801131e-14, 1.3356660834791176, 1.14869011976049, 0.40000000000000235, nan, nan, 2.046213012621153, nan, nan
